trimestre,nomeBandeira,nomeFuncao,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos
20251,American Express,Crédito,Puro,302476,228566
20244,Elo,Pré-Pago,Puro,332858,238
20244,MasterCard,Pré-Pago,Puro,3302363,655561
20252,Elo,Crédito,Co-branded,835820,89817
20251,MasterCard,Crédito,Puro,2769865,851127
20244,MasterCard,Pré-Pago,Puro,4302818,929210
20244,MasterCard,Débito,Co-branded,125335,13711
20252,MasterCard,Débito,Puro,33143876,10298931
20244,VISA,Crédito,Puro,10206758,7378427
20244,Hipercard,Crédito,Puro,397,15
20252,MasterCard,Crédito,Puro,2809554,733821
20251,MasterCard,Débito,Co-branded,1273279,64985
20251,Elo,Pré-Pago,Puro,680291,566568
20252,Elo,Crédito,Puro,152885,135525
20252,Elo,Crédito,Puro,4686053,2847694
20244,MasterCard,Crédito,Híbrido,44416,21702
20252,Elo,Pré-Pago,Puro,2856342,1974328
20251,VISA,Crédito,Puro,3958674,2202820
20244,MasterCard,Débito,Co-branded,298239,29249
20251,MasterCard,Pré-Pago,Puro,696047,252832
20244,Elo,Crédito,Puro,25910,13879
20251,MasterCard,Crédito,Co-branded,11875908,173415
20251,MasterCard,Pré-Pago,Puro,10695024,4582453
20251,MasterCard,Crédito,Puro,23284907,15779927
20252,Elo,Crédito,Puro,161150,44721
20244,VISA,Pré-Pago,Puro,121,3
20251,VISA,Pré-Pago,Puro,21221,1913
20252,VISA,Pré-Pago,Puro,1490,1386
20251,VISA,Pré-Pago,Co-branded,44230,508
20244,MasterCard,Débito,Co-branded,30,1
20244,Elo,Débito,Puro,176601222,27553076
20251,MasterCard,Pré-Pago,Puro,4518025,1013899
20251,MasterCard,Crédito,Puro,6184338,1838284
20251,MasterCard,Crédito,Co-branded,17,5
20252,VISA,Crédito,Puro,10609628,6408720
20252,VISA,Crédito,Co-branded,24751440,22882395
20251,MasterCard,Crédito,Puro,9123292,3733708
20244,American Express,Crédito,Co-branded,36591,29642
20244,Elo,Pré-Pago,Puro,587777,501881
20251,VISA,Crédito,Puro,35766395,14076338
20251,MasterCard,Crédito,Puro,86361502,18502481
20251,VISA,Débito,Híbrido,84283,80669
20244,Elo,Crédito,Co-branded,841005,122503
20251,Elo,Crédito,Puro,249946,207390
20244,VISA,Débito,Puro,14212736,7295607
20251,Bandeira própria,Crédito,Puro,150141,31512
20252,VISA,Crédito,Híbrido,1432754,761996
20251,American Express,Crédito,Puro,494942,399474
20251,Elo,Débito,Híbrido,123435,123218
20252,VISA,Débito,Puro,10457430,4818567
20244,MasterCard,Crédito,Co-branded,5509384,1384533
20244,American Express,Crédito,Puro,57735,43088
20252,Elo,Débito,Puro,177973309,25483159
20252,MasterCard,Crédito,Híbrido,25294943,7659372
20244,Elo,Pré-Pago,Puro,19181313,139024
20244,VISA,Crédito,Híbrido,1356191,743305
20244,American Express,Crédito,Puro,181,104
20244,American Express,Pré-Pago,Puro,4,2
20252,MasterCard,Crédito,Híbrido,7677079,2554230
20244,VISA,Débito,Puro,2793642,866397
20252,Elo,Pré-Pago,Puro,19866822,42570
20252,MasterCard,Pré-Pago,Puro,4082956,1066693
20252,VISA,Pré-Pago,Puro,17322,603
20244,MasterCard,Crédito,Co-branded,15,4
20252,MasterCard,Crédito,Puro,9214800,3838325
20244,VISA,Crédito,Co-branded,19972671,17801383
20252,Elo,Pré-Pago,Puro,527221,12079
20251,MasterCard,Débito,Puro,77919727,42558300
20252,MasterCard,Crédito,Co-branded,60231871,30909721
20251,VISA,Débito,Puro,3103077,1088826
20252,MasterCard,Pré-Pago,Puro,67838337,30735802
20252,MasterCard,Débito,Puro,380468,262891
20252,VISA,Crédito,Puro,24136126,13162235
20244,Outras,Débito,Puro,110,110
20244,Bandeira própria,Crédito,Puro,6793434,2281009
20252,MasterCard,Crédito,Puro,1044341,688036
20251,MasterCard,Crédito,Híbrido,596107,397735
20251,VISA,Crédito,Co-branded,416679,363647
20251,Elo,Crédito,Co-branded,838051,102453
20251,MasterCard,Crédito,Híbrido,23875909,7521184
20252,Hipercard,Crédito,Puro,395,15
20251,VISA,Crédito,Co-branded,425431,389941
20251,Hipercard,Crédito,Puro,396,15
20244,VISA,Pré-Pago,Puro,83876762,16691826
20252,Bandeira própria,Pré-Pago,Puro,2109982,1815526
20252,MasterCard,Crédito,Híbrido,645727,423546
20252,VISA,Débito,Puro,7139921,3162530
20252,Elo,Débito,Híbrido,206312,129560
20244,VISA,Crédito,Co-branded,405291,366901
20244,MasterCard,Pré-Pago,Puro,64367438,31090715
20244,VISA,Crédito,Puro,8646678,6309881
20252,Outras,Crédito,Puro,1033531,303623
20251,VISA,Débito,Co-branded,704316,32180
20244,MasterCard,Débito,Puro,1732038,327460
20244,VISA,Pré-Pago,Puro,1543266,170755
20252,VISA,Débito,Co-branded,275076,247568
20252,MasterCard,Débito,Puro,1044163,370634
20244,VISA,Crédito,Híbrido,632097,360663
20244,MasterCard,Crédito,Puro,97579022,45941743
20251,VISA,Pré-Pago,Puro,17655786,3307365
20252,MasterCard,Pré-Pago,Puro,3208924,144203
20251,MasterCard,Crédito,Híbrido,68495,50330
20251,Elo,Pré-Pago,Puro,240923,166525
20252,VISA,Débito,Puro,1573692,944880
20252,MasterCard,Débito,Puro,848912,199313
20244,Bandeira própria,Pré-Pago,Puro,2044904,1903924
20252,Elo,Pré-Pago,Co-branded,3104,403
20244,MasterCard,Crédito,Híbrido,22843915,7479390
20252,VISA,Crédito,Puro,4081158,2110697
20244,Elo,Crédito,Híbrido,9770,5534
20244,MasterCard,Crédito,Puro,8299752,5992926
20252,MasterCard,Pré-Pago,Puro,2304580,112462
20251,VISA,Débito,Puro,225274279,50328520
20252,Elo,Pré-Pago,Puro,6770,0
20244,VISA,Crédito,Puro,9429213,5938240
20252,Elo,Pré-Pago,Co-branded,3723933,1985234
20251,VISA,Crédito,Híbrido,81188,62107
20252,Outras,Crédito,Puro,1033286,398841
20252,VISA,Débito,Puro,15376920,7568257
20252,MasterCard,Pré-Pago,Puro,742596,255422
20252,American Express,Crédito,Co-branded,37827,29392
20251,MasterCard,Débito,Puro,73432487,11131606
20252,Hipercard,Crédito,Puro,17939,5951
20251,MasterCard,Crédito,Híbrido,6994472,2372103
20251,Elo,Pré-Pago,Puro,77341,71
20251,Outras,Débito,Puro,4113072,1667785
20251,MasterCard,Crédito,Co-branded,249248,9360
20251,American Express,Pré-Pago,Puro,39,10
20251,Elo,Pré-Pago,Co-branded,3154344,1815971
20244,MasterCard,Crédito,Híbrido,4835764,4126303
20244,VISA,Crédito,Puro,686763,374386
20252,MasterCard,Débito,Puro,76149546,43130895
20251,Elo,Crédito,Puro,27029,15237
20252,Elo,Crédito,Puro,363380,333629
20252,Bandeira própria,Crédito,Puro,7255678,2496797
20251,VISA,Débito,Puro,6821894,3064798
20244,Outras,Crédito,Puro,1031630,229115
20244,MasterCard,Débito,Puro,783350,185504
20252,MasterCard,Crédito,Co-branded,929245,756740
20251,VISA,Crédito,Puro,683712,371268
20244,MasterCard,Crédito,Puro,1232511,1084742
20244,VISA,Débito,Híbrido,101564,51359
20244,Hipercard,Crédito,Puro,278021,259516
20251,VISA,Crédito,Puro,9121671,6553463
20252,Outras,Débito,Puro,96886,78630
20252,VISA,Crédito,Híbrido,6845936,1686436
20252,VISA,Crédito,Co-branded,6339270,394586
20252,MasterCard,Crédito,Híbrido,42244,19388
20252,MasterCard,Crédito,Puro,6204076,1868434
20252,Elo,Débito,Puro,988397,336498
20252,MasterCard,Débito,Co-branded,18589,3424
20244,Elo,Crédito,Puro,252863,211879
20244,VISA,Débito,Puro,186843491,47613952
20244,Bandeira própria,Crédito,Híbrido,663305,287250
20244,VISA,Crédito,Co-branded,454339,398306
20244,VISA,Pré-Pago,Puro,2047870,588251
20252,VISA,Crédito,Co-branded,430140,403668
20244,VISA,Pré-Pago,Puro,12926,463
20251,VISA,Crédito,Híbrido,6510747,1634635
20252,American Express,Crédito,Puro,302834,229901
20252,VISA,Pré-Pago,Puro,2657644,753603
20251,VISA,Pré-Pago,Puro,90240629,17568747
20244,American Express,Crédito,Puro,33287,25180
20251,VISA,Pré-Pago,Puro,41,25
20252,VISA,Débito,Híbrido,88044,74843
20244,MasterCard,Pré-Pago,Puro,2225551,124277
20252,American Express,Pré-Pago,Puro,39,14
20244,MasterCard,Crédito,Co-branded,1289283,1031820
20252,VISA,Crédito,Puro,8467204,6348085
20244,VISA,Crédito,Puro,7712645,2251779
20244,MasterCard,Débito,Puro,33182826,10877948
20251,American Express,Crédito,Puro,567,334
20251,VISA,Pré-Pago,Puro,24320182,6680001
20251,MasterCard,Débito,Co-branded,411347,108202
20252,MasterCard,Crédito,Co-branded,11872782,130834
20244,Elo,Crédito,Puro,4128964,2433502
20244,VISA,Débito,Puro,6125555,3015183
20244,Outras,Débito,Puro,107423,107423
20252,Elo,Crédito,Puro,254368,208585
20252,VISA,Pré-Pago,Puro,1563397,155754
20251,VISA,Débito,Híbrido,441424,17793
20244,Elo,Crédito,Puro,2624591,1817275
20252,American Express,Crédito,Puro,31992,24344
20252,American Express,Crédito,Co-branded,15937,10822
20251,VISA,Crédito,Híbrido,1409415,758134
20252,MasterCard,Débito,Co-branded,36290177,8169921
20251,Elo,Crédito,Co-branded,1466990,628701
20244,Elo,Débito,Puro,629145,513171
20252,MasterCard,Crédito,Híbrido,11606450,1790880
20244,VISA,Crédito,Híbrido,9160524,3405867
20252,Outras,Débito,Puro,93,26
20251,MasterCard,Crédito,Puro,99632486,46150478
20252,VISA,Pré-Pago,Co-branded,55132,755
20251,MasterCard,Crédito,Híbrido,11450157,1967746
20251,American Express,Crédito,Puro,57624,43760
20244,VISA,Pré-Pago,Puro,17611496,3641842
20252,VISA,Crédito,Co-branded,211,100
20251,MasterCard,Crédito,Co-branded,56818093,28653776
20251,VISA,Crédito,Co-branded,13734819,4084371
20244,Elo,Pré-Pago,Puro,6770,0
20244,MasterCard,Crédito,Puro,85148832,18770850
20252,VISA,Débito,Puro,3338923,1093796
20251,MasterCard,Crédito,Puro,1123615,968830
20251,MasterCard,Pré-Pago,Puro,2291447,119107
20244,MasterCard,Débito,Puro,72230621,41970005
20251,MasterCard,Crédito,Puro,8985147,6429072
20252,Elo,Crédito,Puro,2580241,1730228
20244,VISA,Crédito,Puro,35369555,14042267
20252,VISA,Crédito,Puro,8779342,2705234
20251,VISA,Crédito,Híbrido,673079,386043
20251,MasterCard,Pré-Pago,Puro,66352584,31086176
20251,Elo,Crédito,Híbrido,9988,6129
20244,Elo,Pré-Pago,Puro,2511241,1827545
20244,Elo,Crédito,Puro,9400942,3593808
20251,MasterCard,Crédito,Co-branded,744677,588848
20244,MasterCard,Débito,Puro,939375,377449
20251,MasterCard,Pré-Pago,Puro,3374057,150220
20244,VISA,Crédito,Puro,3345522,1837766
20252,Elo,Crédito,Híbrido,35888,6230
20244,American Express,Crédito,Puro,302172,225117
20244,MasterCard,Crédito,Híbrido,44598,31797
20244,VISA,Crédito,Co-branded,6281337,399480
20252,MasterCard,Débito,Co-branded,230527,61686
20252,MasterCard,Crédito,Puro,87755271,18043003
20251,Elo,Crédito,Puro,343243,314121
20251,American Express,Crédito,Co-branded,16512,11471
20251,VISA,Crédito,Híbrido,22089,8501
20252,MasterCard,Pré-Pago,Puro,10972389,4562844
20251,Elo,Débito,Puro,613577,512374
20244,VISA,Débito,Co-branded,224762,202286
20251,MasterCard,Débito,Co-branded,175070,42503
20252,VISA,Crédito,Híbrido,714480,404618
20252,Elo,Crédito,Puro,9579811,3325297
20244,Outras,Crédito,Puro,966527,430452
20252,MasterCard,Débito,Puro,648418,289110
20251,Elo,Débito,Puro,950395,349956
20251,Outras,Débito,Puro,103,94
20251,MasterCard,Débito,Puro,2149650,346733
20251,Elo,Pré-Pago,Puro,2663039,2012922
20244,American Express,Crédito,Co-branded,15452,12165
20244,MasterCard,Débito,Puro,410752,271763
20252,Elo,Pré-Pago,Puro,269737,187691
20244,MasterCard,Crédito,Híbrido,11585485,2322307
20252,VISA,Crédito,Puro,684561,359898
20251,VISA,Débito,Puro,14854954,7463320
20252,MasterCard,Crédito,Híbrido,74555,57151
20244,Outras,Débito,Puro,4129391,1668714
20251,VISA,Crédito,Co-branded,21898838,19697831
20244,MasterCard,Crédito,Puro,22415560,15338196
20252,Bandeira própria,Crédito,Puro,148080,34149
20251,MasterCard,Débito,Co-branded,32835202,7874149
20252,Elo,Crédito,Puro,390323,290244
20251,MasterCard,Débito,Puro,1050595,372791
20244,Elo,Crédito,Puro,310153,294445
20251,Elo,Crédito,Puro,4341663,2683083
20244,Elo,Débito,Híbrido,193313,109267
20251,VISA,Débito,Puro,1468947,882599
20252,MasterCard,Pré-Pago,Puro,4783790,1040509
20251,Elo,Débito,Puro,175554057,26029694
20252,VISA,Débito,Puro,193660688,49804726
20252,Elo,Débito,Puro,667823,554075
20252,MasterCard,Crédito,Puro,9463751,6829999
20244,Elo,Pré-Pago,Co-branded,2320243,1633220
20251,VISA,Crédito,Co-branded,6309725,395721
20252,American Express,Crédito,Puro,56527,43072
20244,VISA,Crédito,Híbrido,22748,8919
20251,MasterCard,Débito,Puro,1205972,198821
20252,Bandeira própria,Crédito,Híbrido,660609,279776
20251,VISA,Pré-Pago,Puro,14915,0
20252,Outras,Débito,Puro,4094950,1665133
20252,MasterCard,Crédito,Co-branded,8392,3428
20244,VISA,Crédito,Híbrido,47265,39257
20244,VISA,Débito,Híbrido,441423,21662
20251,MasterCard,Pré-Pago,Puro,4115208,873127
20252,MasterCard,Débito,Puro,2457856,347016
20252,VISA,Débito,Co-branded,7542,2143
20251,VISA,Débito,Co-branded,260842,234758
20244,Elo,Crédito,Co-branded,1355792,603805
20251,Elo,Pré-Pago,Co-branded,2876,455
